iso2,inst_id,display_name,year,works_count,country_rank
IT,I55143463,University of Turin,2018,5370,7
IT,I45084792,University of Florence,2018,5253,8
IT,I108290504,University of Pisa,2018,5061,9
IT,I93860229,Politecnico di Milano,2018,5015,10
IT,I4210155236,National Research Council,2018,4223,11
IT,I1294671590,Centre National de la Recherche Scientifique,2018,4071,12
IT,I116067653,University of Rome Tor Vergata,2018,3792,13
IT,I83816512,University of Genoa,2018,3595,14
IT,I66752286,University of Milano-Bicocca,2018,3279,15
IT,I861853513,Sapienza University of Rome,2023,17374,1
IT,I4210153126,Istituti di Ricovero e Cura a Carattere Scientifico,2023,12401,2
IT,I138689650,University of Padua,2023,12030,3
IT,I9360294,University of Bologna,2023,11251,4
IT,I189158943,University of Milan,2023,10858,5
IT,I71267560,University of Naples Federico II,2023,8495,6
IT,I93860229,Politecnico di Milano,2023,8178,7
IT,I55143463,University of Turin,2023,7544,8
IT,I45084792,University of Florence,2023,7219,9
IT,I4210155236,National Research Council,2023,6727,10
IT,I108290504,University of Pisa,2023,6713,11
IT,I1294671590,Centre National de la Recherche Scientifique,2023,5690,12
IT,I83816512,University of Genoa,2023,5073,13
IT,I177477856,Politecnico di Torino,2023,4999,14
IT,I116067653,University of Rome Tor Vergata,2023,4939,15
PT,I141596103,University of Lisbon,2018,7792,1
PT,I182534213,Universidade do Porto,2018,6407,2
PT,I76903346,University of Coimbra,2018,4473,3
PT,I99682543,University of Minho,2018,3398,4
PT,I83558840,Universidade Nova de Lisboa,2018,3357,5
PT,I60858718,University of Aveiro,2018,3098,6
PT,I4210138594,Rede de Química e Tecnologia,2018,1219,7
PT,I161321875,University of Beira Interior,2018,1060,8
PT,I1294671590,Centre National de la Recherche Scientifique,2018,1039,9
PT,I203847022,Instituto Politécnico de Lisboa,2018,999,10
PT,I71503853,University of Algarve,2018,986,11
PT,I4210120471,Instituto de Telecomunicações,2018,965,12
PT,I21803372,University of Évora,2018,960,13
PT,I155381812,University of Trás-os-Montes and Alto Douro,2018,917,14
PT,I110026055,Iscte – Instituto Universitário de Lisboa,2018,869,15
PT,I141596103,University of Lisbon,2023,9871,1
PT,I182534213,Universidade do Porto,2023,9778,2
PT,I76903346,University of Coimbra,2023,5584,3
PT,I99682543,University of Minho,2023,4269,4
PT,I83558840,Universidade Nova de Lisboa,2023,4193,5
PT,I60858718,University of Aveiro,2023,4174,6
PT,I4210103026,Instituto Politécnico da Guarda,2023,2343,7
PT,I190397597,University of Urbino,2023,2040,8
PT,I130692619,Bern University of Applied Sciences,2023,2013,9
PT,I126193024,London Metropolitan University,2023,2006,10
PT,I173012211,Loyola University New Orleans,2023,2001,11
PT,I4210116399,Labor (Italy),2023,2001,12
PT,I4210137869,International Training Centre of the ILO,2023,2001,13
PT,I83863532,Polytechnic Institute of Porto,2023,1529,14
PT,I4210138594,Rede de Química e Tecnologia,2023,1456,15
PL,I126596746,Jagiellonian University,2018,5667,1
PL,I99542240,Polish Academy of Sciences,2018,4961,2
PL,I4654613,University of Warsaw,2018,4792,3
PL,I686019,AGH University of Krakow,2018,4785,4
PL,I59411706,Adam Mickiewicz University in Poznań,2018,3652,5
PL,I108403487,Warsaw University of Technology,2018,2964,6
PL,I11923345,Wrocław University of Science and Technology,2018,2511,7
PL,I34250744,University of Łódź,2018,2448,8
PL,I3019271933,Nicolaus Copernicus University,2018,2402,9
PL,I219388962,University of Wrocław,2018,2305,10
PL,I119004910,Silesian University of Technology,2018,2284,11
PL,I268303160,Medical University of Warsaw,2018,2167,12
PL,I47996466,University of Warmia and Mazury in Olsztyn,2018,1844,13
PL,I170230895,Warsaw University of Life Sciences,2018,1831,14
PL,I40413290,University of Gdańsk,2018,1791,15
PL,I126596746,Jagiellonian University,2023,7168,1
PL,I99542240,Polish Academy of Sciences,2023,6166,2
